match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
OTHER_2015-06-30_ÅLAND_ISLANDS_MENORCA,2015-06-30,Åland Islands,Menorca,1,3,Island Games,St. Clement,Jersey,True
COPA_2015-06-30_ARGENTINA_PARAGUAY,2015-06-30,Argentina,Paraguay,6,1,Copa América,Concepción,Chile,True
OTHER_2015-06-30_GOTLAND_YNYS_MÔN,2015-06-30,Gotland,Ynys Môn,2,3,Island Games,St. Peter,Jersey,True
FRIENDLY_2015-07-01_HONDURAS_MEXICO,2015-07-01,Honduras,Mexico,0,0,Friendly,Houston,United States,True
OTHER_2015-07-02_HITRA_ALDERNEY,2015-07-02,Hitra,Alderney,5,1,Island Games,St. Ouen,Jersey,True
OTHER_2015-07-02_GOTLAND_SAARE_COUNTY,2015-07-02,Gotland,Saare County,2,3,Island Games,St. Ouen,Jersey,True
OTHER_2015-07-02_FALKLAND_ISLANDS_WESTERN_ISLES,2015-07-02,Falkland Islands,Western Isles,1,2,Island Games,St. Brelade,Jersey,True
OTHER_2015-07-02_GIBRALTAR_ÅLAND_ISLANDS,2015-07-02,Gibraltar,Åland Islands,0,0,Island Games,St. Brelade,Jersey,True
OTHER_2015-07-02_JERSEY_YNYS_MÔN,2015-07-02,Jersey,Ynys Môn,1,0,Island Games,St. Clement,Jersey,False
OTHER_2015-07-02_ISLE_OF_WIGHT_GREENLAND,2015-07-02,Isle of Wight,Greenland,1,2,Island Games,St. Clement,Jersey,True
OTHER_2015-07-02_MENORCA_GUERNSEY,2015-07-02,Menorca,Guernsey,1,2,Island Games,St Helier,Jersey,True
OTHER_2015-07-02_SHETLAND_ISLE_OF_MAN,2015-07-02,Shetland,Isle of Man,1,3,Island Games,St Helier,Jersey,True
OTHER_2015-07-03_MENORCA_SHETLAND,2015-07-03,Menorca,Shetland,1,0,Island Games,St. Peter,Jersey,True
COPA_2015-07-03_PERU_PARAGUAY,2015-07-03,Peru,Paraguay,2,0,Copa América,Concepción,Chile,True
OTHER_2015-07-03_GUERNSEY_ISLE_OF_MAN,2015-07-03,Guernsey,Isle of Man,3,0,Island Games,St Helier,Jersey,True
COPA_2015-07-04_CHILE_ARGENTINA,2015-07-04,Chile,Argentina,0,0,Copa América,Santiago,Chile,False
FRIENDLY_2015-07-06_MALAWI_UGANDA,2015-07-06,Malawi,Uganda,1,0,Friendly,Blantyre,Malawi,False
GOLD_2015-07-07_PANAMA_HAITI,2015-07-07,Panama,Haiti,1,1,Gold Cup,Frisco,United States,True
GOLD_2015-07-07_USA_HONDURAS,2015-07-07,USA,Honduras,2,1,Gold Cup,Frisco,United States,False
GOLD_2015-07-08_COSTA_RICA_JAMAICA,2015-07-08,Costa Rica,Jamaica,2,2,Gold Cup,Carson,United States,True
GOLD_2015-07-08_EL_SALVADOR_CANADA,2015-07-08,El Salvador,Canada,0,0,Gold Cup,Carson,United States,True
GOLD_2015-07-09_MEXICO_CUBA,2015-07-09,Mexico,Cuba,6,0,Gold Cup,Chicago,United States,True
GOLD_2015-07-09_TRINIDAD_AND_TOBAGO_GUATEMALA,2015-07-09,Trinidad and Tobago,Guatemala,3,1,Gold Cup,Chicago,United States,True
FRIENDLY_2015-07-09_LUHANSK_PR_DONETSK_PR,2015-07-09,Luhansk PR,Donetsk PR,3,1,Friendly,Luhansk,Ukraine,False
GOLD_2015-07-10_HONDURAS_PANAMA,2015-07-10,Honduras,Panama,1,1,Gold Cup,Foxborough,United States,True
GOLD_2015-07-10_USA_HAITI,2015-07-10,USA,Haiti,1,0,Gold Cup,Foxborough,United States,False
GOLD_2015-07-11_COSTA_RICA_EL_SALVADOR,2015-07-11,Costa Rica,El Salvador,1,1,Gold Cup,Houston,United States,True
GOLD_2015-07-11_JAMAICA_CANADA,2015-07-11,Jamaica,Canada,1,0,Gold Cup,Houston,United States,True
