match_id,date,home_team,away_team,home_score,away_score,tournament,home_formation,away_formation,home_avg_age,away_avg_age,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_blocked,away_shots_blocked,home_shot_accuracy,away_shot_accuracy,home_passes_total,away_passes_total,home_pass_accuracy,away_pass_accuracy,home_key_passes,away_key_passes,home_tackles_won,away_tackles_won,home_tackle_success,away_tackle_success,home_interceptions,away_interceptions,home_clearances,away_clearances,home_aerials_won,away_aerials_won,home_attacking_intensity,away_attacking_intensity,home_defensive_intensity,away_defensive_intensity
WC_2026-06-26_SENEGAL_IRAQ,2026-06-26,Senegal,Iraq,5,0,FIFA World Cup,4-3-3,4-2-3-1,26.4,26.5,62.9,49.2,28,6,12,1,5,4,42.9,16.7,590,266,87.6,69.2,24,3,12,20,60.0,71.4,2,7,10,34,19,12,52,9,24,61
WC_2026-06-26_NORWAY_FRANCE,2026-06-26,Norway,France,1,4,FIFA World Cup,4-3-3,4-2-3-1,26.3,26.6,54.5,50.0,10,18,4,9,3,3,40.0,50.0,421,555,81.5,86.5,7,16,17,17,70.8,70.8,13,11,16,19,7,14,17,34,46,47
WC_2026-06-27_CABO_VERDE_SAUDI_ARABIA,2026-06-27,Cabo Verde,Saudi Arabia,0,0,FIFA World Cup,4-1-4-1,4-4-2,29.8,28,50.6,53.9,15,7,2,3,5,3,13.3,42.9,451,444,84.5,80.9,12,5,15,29,71.4,74.4,13,11,29,25,18,11,27,12,57,65
WC_2026-06-27_URUGUAY_SPAIN,2026-06-27,Uruguay,Spain,0,1,FIFA World Cup,4-1-4-1,4-2-3-1,28.3,26.3,57.9,47.0,5,6,1,1,1,1,20.0,16.7,301,622,75.7,88.9,5,6,25,17,73.5,70.8,14,9,14,23,5,16,10,12,53,49
WC_2026-06-27_EGYPT_IRAN,2026-06-27,Egypt,Iran,1,1,FIFA World Cup,4-2-3-1,5-4-1,28.8,29.8,50.4,53.3,15,13,3,4,6,3,20.0,30.8,589,367,87.1,76.6,10,7,17,22,68.0,68.8,7,8,38,32,23,31,25,20,62,62
WC_2026-06-27_NEW_ZEALAND_BELGIUM,2026-06-27,New Zealand,Belgium,1,5,FIFA World Cup,4-2-3-1,4-2-3-1,27.8,27.6,57.2,45.8,6,35,2,10,1,12,33.3,28.6,436,525,84.6,88.0,3,28,10,13,58.8,61.9,6,10,35,27,7,8,9,63,51,50
WC_2026-06-27_PANAMA_ENGLAND,2026-06-27,Panama,England,0,2,FIFA World Cup,5-4-1,4-1-4-1,30.1,26.8,51.3,45.4,13,17,2,6,3,3,15.4,35.3,267,557,75.3,88.3,9,12,16,18,61.5,75.0,6,5,36,21,11,17,22,29,58,44
WC_2026-06-27_CROATIA_GHANA,2026-06-27,Croatia,Ghana,2,1,FIFA World Cup,4-2-3-1,4-1-4-1,27.9,26.5,46.2,41.3,8,6,4,1,2,2,50.0,16.7,523,455,91.4,88.4,8,6,14,13,70.0,68.4,4,10,23,10,7,8,16,12,41,33
WC_2026-06-28_ALGERIA_AUSTRIA,2026-06-28,Algeria,Austria,3,3,FIFA World Cup,4-2-3-1,4-2-3-1,26.5,28.2,56.7,45.0,12,10,5,3,2,1,41.7,30.0,755,396,93.5,87.4,10,6,12,10,92.3,45.5,3,10,17,19,4,9,22,16,32,39
WC_2026-06-28_JORDAN_ARGENTINA,2026-06-28,Jordan,Argentina,1,3,FIFA World Cup,3-4-2-1,4-4-2,28.1,28.7,51.2,48.7,5,12,1,4,2,1,20.0,33.3,285,800,80.0,92.0,3,6,16,14,84.2,60.9,19,12,13,11,2,3,8,18,48,37
